ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	77713.41	84299	1.084742	0.9225003	0.0	0.0	14398	11468.87	11726	1.02242	0.7839807	0.8144187	2.397933e-27	5.062036563e-24
GO:0005515	protein binding	0.7330151	66983.66	75496	1.127081	0.8261674	0.0	0.0	11170	8897.571	9252	1.039834	0.6185732	0.8282901	7.395433e-39	3.1223518126000005e-35
GO:0043167	ion binding	0.4862315	44432.32	48595	1.093686	0.5317845	2.621518e-167	1.3835061245e-164	6102	4860.607	5074	1.043903	0.3392392	0.8315306	3.6382770000000006e-17	2.1944007848571428e-14
GO:0097159	organic cyclic compound binding	0.4471765	40863.43	45335	1.109427	0.4961097	9.821049e-194	8.2928937756e-191	6009	4786.527	4836	1.010336	0.3233269	0.8047928	0.02826491	0.3729400788749999
GO:1901363	heterocyclic compound binding	0.4422906	40416.96	44765	1.10758	0.4898721	1.315742e-183	9.258437873333332e-181	5925	4719.616	4762	1.00898	0.3183794	0.8037131	0.05089161	0.5709048871354166
GO:0003824	catalytic activity	0.4365299	39890.54	45592	1.142928	0.4989221	3.543503e-314	4.9868898886584e-311	5832	4645.536	4874	1.049179	0.3258675	0.8357339	6.296139e-20	6.645574714500001e-17
GO:0043169	cation binding	0.3590499	32810.34	35094	1.069602	0.3840404	1.2395260000000001e-55	9.181190828070175e-54	4186	3334.399	3443	1.03257	0.2301932	0.8225036	9.544599e-07	6.296452652812499e-05
GO:0046872	metal ion binding	0.3501715	31999.02	34440	1.076283	0.3768836	7.231472e-64	7.100296461395349e-62	4096	3262.708	3366	1.031658	0.2250451	0.8217773	2.52058e-06	0.00014780401055555553
GO:0003676	nucleic acid binding	0.3103826	28363.07	30416	1.07238	0.3328482	1.8079219999999997e-48	1.1392606991044775e-46	4032	3211.728	3119	0.9711282	0.2085311	0.7735615	0.9999773	1.0
GO:0043168	anion binding	0.2346044	21438.39	25081	1.169911	0.2744662	7.785177e-172	4.695573899142857e-169	2698	2149.118	2342	1.089749	0.1565822	0.8680504	1.551385e-25	2.183315823333333e-22
GO:0003677	DNA binding	0.214041	19559.28	21175	1.082606	0.2317221	2.1749029999999998e-38	1.0317348838202248e-36	2476	1972.282	1924	0.9755199	0.1286354	0.7770598	0.9952303	1.0
GO:0016740	transferase activity	0.2132733	19489.13	21895	1.123447	0.2396012	4.6961890000000004e-82	6.0082757448484846e-80	2404	1914.929	2053	1.072102	0.1372601	0.8539933	5.841237e-15	2.7401891793333333e-12
GO:0036094	small molecule binding	0.1985852	18146.92	21258	1.171439	0.2326304	2.536415e-141	1.1898604588888887e-138	2376	1892.626	2041	1.078396	0.1364578	0.8590067	2.894819e-17	2.1944007848571428e-14
GO:0016787	hydrolase activity	0.1938115	17710.69	20422	1.153089	0.2234819	3.08749e-110	8.690255186666667e-108	2532	2016.889	2066	1.02435	0.1381293	0.8159558	0.004622195	0.09784290788
GO:0097367	carbohydrate derivative binding	0.1930119	17637.62	20077	1.138306	0.2197065	3.2086839999999997e-90	4.671401326896552e-88	2191	1745.262	1888	1.081786	0.1262285	0.861707	3.2240090000000003e-17	2.1944007848571428e-14
